booking_id,booking_date,booking_time,day_of_week,branch,branch_city,service_name,service_category,technician,customer_name,vehicle_make,vehicle_model,vehicle_year,payment_method,status,price_pkr,duration_min,wait_time_min,customer_rating,revenue_pkr
JOB-104007,2025-08-01,09:00,Friday,AutoHub Riverside,Lahore,AC Performance Check,Comfort,Hina Sultana,Amina Khalid,Hyundai,Tucson,2015,Mobile Wallet,Completed,2780.0,72,13,3.5,2780.0
JOB-103558,2025-08-01,15:30,Friday,AutoHub Downtown,Rawalpindi,Battery & Charging Test,Electrical,Nadeem Shah,Sadia Ahmed,Kia,Sportage,2021,Card,Completed,840.0,21,0,5.0,840.0
JOB-102411,2025-08-01,07:15,Friday,AutoHub Riverside,Lahore,Battery & Charging Test,Electrical,Sana Rafiq,Zainab Ahmed,Suzuki,Alto,2020,Mobile Wallet,Completed,780.0,18,10,4.0,780.0
JOB-100014,2025-08-01,14:30,Friday,AutoHub Downtown,Rawalpindi,Detailing & Paint Protection,Comfort,Aliya Baig,Sadia Jameel,MG,HS,2023,Mobile Wallet,Completed,12230.0,178,10,4.0,12230.0
JOB-105853,2025-08-01,13:30,Friday,AutoHub Downtown,Rawalpindi,Suspension Repair,Safety,Danish Iqbal,Sara Iqbal,Honda,Civic,2016,Mobile Wallet,Completed,10290.0,130,2,4.0,10290.0
JOB-102802,2025-08-01,16:00,Friday,AutoHub Industrial,Faisalabad,Diagnostic Scan,Diagnostics,Aliya Baig,Fatima Jameel,Suzuki,Alto,2022,Bank Transfer,Completed,1580.0,29,11,4.0,1580.0
JOB-103802,2025-08-01,13:15,Friday,AutoHub Riverside,Lahore,Battery & Charging Test,Electrical,Danish Iqbal,Bilal Qureshi,Kia,Sportage,2024,Cash,Cancelled,810.0,24,13,,0.0
JOB-106006,2025-08-01,11:30,Friday,AutoHub Riverside,Lahore,Detailing & Paint Protection,Comfort,Kamran Yousuf,Ahmed Ahmed,Kia,Sportage,2014,Card,Completed,11970.0,188,16,4.5,11970.0
JOB-100757,2025-08-01,07:45,Friday,AutoHub Riverside,Lahore,Detailing & Paint Protection,Comfort,Danish Iqbal,Ali Sheikh,Hyundai,Tucson,2019,Cash,Completed,12580.0,175,9,4.0,12580.0
JOB-100966,2025-08-01,13:00,Friday,AutoHub Riverside,Lahore,Battery & Charging Test,Electrical,Mehwish Khan,Usman Noor,Honda,Civic,2021,Bank Transfer,Completed,810.0,23,19,4.0,810.0
JOB-104939,2025-08-02,13:30,Saturday,AutoHub Riverside,Lahore,Diagnostic Scan,Diagnostics,Faisal Mehmood,Komal Noor,Suzuki,Alto,2017,Mobile Wallet,Completed,1530.0,35,27,3.5,1530.0
JOB-106234,2025-08-02,16:45,Saturday,AutoHub Industrial,Faisalabad,Oil & Filter Change,Maintenance,Sana Rafiq,Zainab Jameel,Toyota,Yaris,2017,Cash,Completed,4300.0,48,6,4.0,4300.0
JOB-100240,2025-08-02,11:15,Saturday,AutoHub Riverside,Lahore,Wheel Alignment & Balancing,Maintenance,Kamran Yousuf,Usman Shah,Honda,Civic,2022,Card,Completed,3430.0,82,17,4.0,3430.0
JOB-103476,2025-08-02,15:45,Saturday,AutoHub Northgate,Islamabad,Battery & Charging Test,Electrical,Waqas Ali,Sadia Shah,Toyota,Corolla,2022,Card,Completed,790.0,23,0,4.5,790.0
JOB-102787,2025-08-02,09:00,Saturday,AutoHub Downtown,Rawalpindi,Battery & Charging Test,Electrical,Kamran Yousuf,Farhan Khalid,Honda,Civic,2020,Bank Transfer,Completed,800.0,23,19,4.0,800.0
JOB-100944,2025-08-02,11:45,Saturday,AutoHub Northgate,Islamabad,Oil & Filter Change,Maintenance,Aliya Baig,Komal Malik,Hyundai,Tucson,2016,Cash,Cancelled,4230.0,39,21,,0.0
JOB-103334,2025-08-02,10:45,Saturday,AutoHub Industrial,Faisalabad,Diagnostic Scan,Diagnostics,Kamran Yousuf,Usman Malik,Kia,Sportage,2016,Cash,Completed,1390.0,33,0,4.0,1390.0
JOB-105436,2025-08-02,07:30,Saturday,AutoHub Industrial,Faisalabad,Suspension Repair,Safety,Rabia Yousaf,Amina Qureshi,Kia,Sportage,2019,Cash,Completed,9680.0,97,1,4.5,9680.0
JOB-105670,2025-08-02,17:30,Saturday,AutoHub Northgate,Islamabad,Suspension Repair,Safety,Waqas Ali,Ahmed Baig,Suzuki,Alto,2018,Cash,Completed,10540.0,115,10,4.5,10540.0
JOB-102504,2025-08-02,07:15,Saturday,AutoHub Riverside,Lahore,Brake Service,Safety,Nadeem Shah,Rimsha Khalid,Toyota,Corolla,2016,Cash,Completed,8930.0,83,15,4.0,8930.0
JOB-105673,2025-08-02,15:15,Saturday,AutoHub Riverside,Lahore,Wheel Alignment & Balancing,Maintenance,Tariq Jameel,Ahmed Riaz,Suzuki,Cultus,2015,Cash,Completed,3340.0,74,12,4.0,3340.0
JOB-106103,2025-08-02,12:15,Saturday,AutoHub Northgate,Islamabad,Oil & Filter Change,Maintenance,Mehwish Khan,Hamza Malik,Hyundai,Tucson,2019,Cash,Completed,4270.0,41,13,4.0,4270.0
JOB-102845,2025-08-02,11:00,Saturday,AutoHub Downtown,Rawalpindi,Detailing & Paint Protection,Comfort,Aliya Baig,Umar Rafiq,Toyota,Yaris,2018,Card,Completed,12280.0,157,24,4.0,12280.0
JOB-101644,2025-08-02,13:45,Saturday,AutoHub Northgate,Islamabad,Oil & Filter Change,Maintenance,Waqas Ali,Farhan Rafiq,Honda,City,2014,Mobile Wallet,Completed,4330.0,50,18,4.0,4330.0
JOB-101159,2025-08-02,15:30,Saturday,AutoHub Riverside,Lahore,Brake Service,Safety,Rabia Yousaf,Warda Qureshi,Honda,City,2022,Cash,Completed,8640.0,78,0,5.0,8640.0
JOB-100443,2025-08-02,17:45,Saturday,AutoHub Downtown,Rawalpindi,Brake Service,Safety,Hina Sultana,Nida Farooq,Kia,Sportage,2022,Mobile Wallet,Completed,8630.0,83,13,4.0,8630.0
JOB-106358,2025-08-02,16:45,Saturday,AutoHub Riverside,Lahore,Brake Service,Safety,Tariq Jameel,Iqra Yousaf,MG,HS,2017,Cash,Completed,8650.0,91,19,4.0,8650.0
JOB-102641,2025-08-02,13:15,Saturday,AutoHub Industrial,Faisalabad,Brake Service,Safety,Waqas Ali,Amina Malik,Hyundai,Elantra,2021,Cash,Completed,9410.0,84,16,3.5,9410.0
JOB-102454,2025-08-02,10:45,Saturday,AutoHub Industrial,Faisalabad,Brake Service,Safety,Faisal Mehmood,Umar Jameel,Hyundai,Elantra,2019,Cash,Completed,9470.0,93,8,4.5,9470.0
JOB-103791,2025-08-02,11:00,Saturday,AutoHub Northgate,Islamabad,Oil & Filter Change,Maintenance,Hina Sultana,Ahmed Iqbal,Toyota,Corolla,2023,Card,Completed,4140.0,41,27,3.5,4140.0
JOB-101878,2025-08-02,14:00,Saturday,AutoHub Northgate,Islamabad,Oil & Filter Change,Maintenance,Tariq Jameel,Zainab Shah,Toyota,Corolla,2018,Card,Completed,4180.0,50,10,5.0,4180.0
JOB-100190,2025-08-02,13:30,Saturday,AutoHub Industrial,Faisalabad,Oil & Filter Change,Maintenance,Mehwish Khan,Sadia Jameel,Toyota,Corolla,2015,Card,No-show,4390.0,40,11,,0.0
JOB-104812,2025-08-02,12:45,Saturday,AutoHub Riverside,Lahore,Suspension Repair,Safety,Faisal Mehmood,Amina Qureshi,Suzuki,WagonR,2019,Mobile Wallet,Completed,10150.0,97,21,4.0,10150.0
JOB-100486,2025-08-03,11:00,Sunday,AutoHub Riverside,Lahore,Oil & Filter Change,Maintenance,Faisal Mehmood,Komal Rafiq,Hyundai,Tucson,2014,Bank Transfer,Completed,4510.0,47,16,4.0,4510.0
JOB-101432,2025-08-03,19:30,Sunday,AutoHub Downtown,Rawalpindi,Wheel Alignment & Balancing,Maintenance,Sana Rafiq,Ali Farooq,Suzuki,WagonR,2016,Mobile Wallet,Completed,3340.0,72,10,5.0,3340.0
JOB-106038,2025-08-03,19:45,Sunday,AutoHub Industrial,Faisalabad,Battery & Charging Test,Electrical,Sana Rafiq,Ali Rafiq,Honda,Civic,2019,Cash,Completed,800.0,18,3,5.0,800.0
JOB-105411,2025-08-03,16:30,Sunday,AutoHub Downtown,Rawalpindi,Battery & Charging Test,Electrical,Sana Rafiq,Junaid Ahmed,Toyota,Corolla,2017,Card,Completed,770.0,17,9,4.5,770.0
JOB-105842,2025-08-03,12:30,Sunday,AutoHub Downtown,Rawalpindi,Brake Service,Safety,Waqas Ali,Usman Farooq,MG,HS,2024,Mobile Wallet,Cancelled,8380.0,94,13,,0.0
JOB-101287,2025-08-03,15:45,Sunday,AutoHub Northgate,Islamabad,Detailing & Paint Protection,Comfort,Nadeem Shah,Zainab Noor,Suzuki,Cultus,2014,Card,Completed,12930.0,209,4,4.5,12930.0
JOB-103880,2025-08-03,11:30,Sunday,AutoHub Downtown,Rawalpindi,Wheel Alignment & Balancing,Maintenance,Imran Qureshi,Shahid Baig,Honda,City,2015,Card,Completed,3460.0,84,21,3.5,3460.0
JOB-106284,2025-08-03,12:45,Sunday,AutoHub Downtown,Rawalpindi,AC Performance Check,Comfort,Waqas Ali,Komal Khalid,Suzuki,Alto,2020,Mobile Wallet,Completed,3100.0,61,19,4.0,3100.0
JOB-100390,2025-08-03,11:15,Sunday,AutoHub Riverside,Lahore,Wheel Alignment & Balancing,Maintenance,Tariq Jameel,Mahnoor Qureshi,Toyota,Fortuner,2020,Cash,Completed,3730.0,89,31,4.5,3730.0
JOB-100888,2025-08-03,19:45,Sunday,AutoHub Riverside,Lahore,Suspension Repair,Safety,Mehwish Khan,Usman Raza,Toyota,Fortuner,2017,Card,Completed,9350.0,118,15,4.5,9350.0
JOB-103716,2025-08-03,18:15,Sunday,AutoHub Downtown,Rawalpindi,Full Inspection (Pre-Purchase),Diagnostics,Imran Qureshi,Junaid Riaz,MG,HS,2024,Cash,Completed,6050.0,111,13,4.0,6050.0
JOB-100285,2025-08-03,10:15,Sunday,AutoHub Riverside,Lahore,AC Performance Check,Comfort,Waqas Ali,Sara Rafiq,Toyota,Fortuner,2017,Cash,Completed,3100.0,66,13,4.0,3100.0
JOB-100415,2025-08-03,11:00,Sunday,AutoHub Riverside,Lahore,Oil & Filter Change,Maintenance,Hina Sultana,Zainab Ahmed,Hyundai,Elantra,2020,Card,Completed,4120.0,42,18,4.5,4120.0
JOB-103763,2025-08-03,12:45,Sunday,AutoHub Riverside,Lahore,Oil & Filter Change,Maintenance,Mehwish Khan,Usman Noor,Toyota,Fortuner,2024,Bank Transfer,Completed,4070.0,45,19,4.5,4070.0
JOB-103639,2025-08-03,10:45,Sunday,AutoHub Downtown,Rawalpindi,Suspension Repair,Safety,Mehwish Khan,Mahnoor Yousaf,Toyota,Fortuner,2021,Bank Transfer,Completed,10430.0,120,5,5.0,10430.0
JOB-101106,2025-08-03,08:30,Sunday,AutoHub Downtown,Rawalpindi,Oil & Filter Change,Maintenance,Aliya Baig,Sadia Iqbal,Hyundai,Tucson,2022,Cash,Completed,4090.0,53,10,4.5,4090.0
JOB-100358,2025-08-04,17:00,Monday,AutoHub Riverside,Lahore,Battery & Charging Test,Electrical,Hina Sultana,Ahmed Riaz,Toyota,Yaris,2015,Cash,Completed,840.0,21,22,4.0,840.0
JOB-100939,2025-08-04,08:00,Monday,AutoHub Northgate,Islamabad,Brake Service,Safety,Hina Sultana,Hamza Farooq,Hyundai,Elantra,2020,Card,Completed,8300.0,77,5,5.0,8300.0
JOB-101706,2025-08-04,20:00,Monday,AutoHub Industrial,Faisalabad,Oil & Filter Change,Maintenance,Aliya Baig,Mahnoor Riaz,Suzuki,Cultus,2016,Bank Transfer,Completed,4280.0,43,3,4.5,4280.0
JOB-104943,2025-08-04,09:30,Monday,AutoHub Downtown,Rawalpindi,Suspension Repair,Safety,Danish Iqbal,Mahnoor Tariq,Hyundai,Tucson,2015,Card,Completed,10040.0,102,10,5.0,10040.0
JOB-101391,2025-08-04,11:30,Monday,AutoHub Riverside,Lahore,Wheel Alignment & Balancing,Maintenance,Tariq Jameel,Ahmed Qureshi,MG,HS,2019,Mobile Wallet,Completed,3420.0,76,12,5.0,3420.0
JOB-101430,2025-08-04,14:15,Monday,AutoHub Downtown,Rawalpindi,Wheel Alignment & Balancing,Maintenance,Kamran Yousuf,Sadia Khalid,Suzuki,Cultus,2021,Bank Transfer,Completed,3310.0,89,10,4.5,3310.0
JOB-101110,2025-08-04,14:00,Monday,AutoHub Downtown,Rawalpindi,Suspension Repair,Safety,Hina Sultana,Ahmed Rafiq,Honda,Civic,2015,Bank Transfer,Completed,10530.0,124,5,4.0,10530.0
JOB-102211,2025-08-04,11:15,Monday,AutoHub Downtown,Rawalpindi,Suspension Repair,Safety,Rabia Yousaf,Hamza Tariq,Honda,City,2022,Mobile Wallet,Completed,10450.0,110,17,4.5,10450.0
JOB-100531,2025-08-04,13:30,Monday,AutoHub Riverside,Lahore,AC Performance Check,Comfort,Rabia Yousaf,Nida Shah,Toyota,Corolla,2014,Mobile Wallet,Completed,2980.0,65,20,4.0,2980.0
JOB-100485,2025-08-04,12:45,Monday,AutoHub Northgate,Islamabad,Diagnostic Scan,Diagnostics,Hina Sultana,Sara Qureshi,MG,HS,2019,Card,Completed,1430.0,36,16,4.0,1430.0
JOB-104352,2025-08-04,18:00,Monday,AutoHub Downtown,Rawalpindi,Brake Service,Safety,Faisal Mehmood,Fatima Noor,Honda,City,2017,Mobile Wallet,Completed,9580.0,83,2,4.5,9580.0
JOB-105361,2025-08-04,17:30,Monday,AutoHub Industrial,Faisalabad,Diagnostic Scan,Diagnostics,Kamran Yousuf,Hamza Yousaf,Hyundai,Tucson,2014,Card,Completed,1560.0,34,17,4.0,1560.0
JOB-102978,2025-08-04,18:00,Monday,AutoHub Riverside,Lahore,Diagnostic Scan,Diagnostics,Nadeem Shah,Shahid Noor,Suzuki,Cultus,2022,Card,Completed,1390.0,27,19,4.0,1390.0
JOB-102121,2025-08-04,07:30,Monday,AutoHub Northgate,Islamabad,Full Inspection (Pre-Purchase),Diagnostics,Sana Rafiq,Hassan Tariq,Suzuki,Cultus,2023,Cash,Completed,6040.0,107,1,5.0,6040.0
JOB-106380,2025-08-04,07:00,Monday,AutoHub Riverside,Lahore,AC Performance Check,Comfort,Hina Sultana,Ayesha Qureshi,MG,HS,2022,Cash,Completed,3150.0,52,14,3.5,3150.0
JOB-105306,2025-08-04,10:45,Monday,AutoHub Industrial,Faisalabad,Battery & Charging Test,Electrical,Kamran Yousuf,Warda Yousaf,MG,HS,2024,Mobile Wallet,Completed,750.0,17,5,4.5,750.0
JOB-105881,2025-08-05,12:45,Tuesday,AutoHub Downtown,Rawalpindi,Wheel Alignment & Balancing,Maintenance,Hina Sultana,Mahnoor Sheikh,Toyota,Fortuner,2018,Cash,Completed,3500.0,70,16,5.0,3500.0
JOB-104026,2025-08-05,15:45,Tuesday,AutoHub Northgate,Islamabad,Battery & Charging Test,Electrical,Hina Sultana,Farhan Iqbal,Hyundai,Elantra,2015,Card,Completed,840.0,20,13,4.0,840.0
JOB-100223,2025-08-05,08:15,Tuesday,AutoHub Riverside,Lahore,AC Performance Check,Comfort,Aliya Baig,Sara Rafiq,Hyundai,Elantra,2014,Mobile Wallet,Completed,3130.0,66,7,4.5,3130.0
JOB-101272,2025-08-05,12:00,Tuesday,AutoHub Riverside,Lahore,Wheel Alignment & Balancing,Maintenance,Tariq Jameel,Ahmed Shah,Toyota,Yaris,2015,Mobile Wallet,No-show,3600.0,75,18,,0.0
JOB-103210,2025-08-05,13:30,Tuesday,AutoHub Downtown,Rawalpindi,Brake Service,Safety,Rabia Yousaf,Junaid Shah,Honda,City,2024,Card,Completed,8190.0,82,16,4.5,8190.0
JOB-103048,2025-08-05,20:00,Tuesday,AutoHub Riverside,Lahore,Oil & Filter Change,Maintenance,Hina Sultana,Umar Noor,Suzuki,WagonR,2014,Card,Completed,3900.0,46,0,5.0,3900.0
JOB-101045,2025-08-05,19:15,Tuesday,AutoHub Downtown,Rawalpindi,Battery & Charging Test,Electrical,Faisal Mehmood,Shahid Qureshi,Suzuki,Alto,2015,Bank Transfer,Completed,820.0,21,1,4.0,820.0
JOB-104488,2025-08-05,11:00,Tuesday,AutoHub Riverside,Lahore,Brake Service,Safety,Faisal Mehmood,Mahnoor Riaz,Honda,City,2022,Cash,Completed,8600.0,100,16,5.0,8600.0
JOB-103329,2025-08-05,16:00,Tuesday,AutoHub Riverside,Lahore,Battery & Charging Test,Electrical,Faisal Mehmood,Hassan Yousaf,Honda,Civic,2016,Card,Completed,770.0,19,12,4.0,770.0
JOB-104740,2025-08-05,20:30,Tuesday,AutoHub Northgate,Islamabad,Oil & Filter Change,Maintenance,Sana Rafiq,Mahnoor Farooq,Toyota,Fortuner,2019,Card,Completed,4440.0,47,11,4.5,4440.0
JOB-104262,2025-08-05,14:30,Tuesday,AutoHub Downtown,Rawalpindi,Wheel Alignment & Balancing,Maintenance,Danish Iqbal,Shahid Sheikh,Hyundai,Elantra,2023,Cash,Completed,3710.0,79,13,4.5,3710.0
JOB-100524,2025-08-05,15:45,Tuesday,AutoHub Northgate,Islamabad,Suspension Repair,Safety,Aliya Baig,Usman Shah,Kia,Sportage,2022,Cash,Completed,9040.0,108,9,4.0,9040.0
JOB-102839,2025-08-05,12:00,Tuesday,AutoHub Riverside,Lahore,Transmission Fluid Service,Maintenance,Waqas Ali,Nida Malik,Toyota,Yaris,2016,Cash,Completed,7410.0,97,25,5.0,7410.0
JOB-102370,2025-08-06,11:30,Wednesday,AutoHub Downtown,Rawalpindi,Brake Service,Safety,Imran Qureshi,Ayesha Iqbal,Hyundai,Elantra,2022,Cash,Completed,8260.0,97,15,4.5,8260.0
JOB-105022,2025-08-06,15:00,Wednesday,AutoHub Downtown,Rawalpindi,Oil & Filter Change,Maintenance,Tariq Jameel,Komal Jameel,Hyundai,Elantra,2019,Cash,No-show,4520.0,39,6,,0.0
JOB-101209,2025-08-06,15:30,Wednesday,AutoHub Industrial,Faisalabad,Oil & Filter Change,Maintenance,Waqas Ali,Umar Qureshi,MG,HS,2020,Bank Transfer,Completed,4510.0,49,8,4.0,4510.0
JOB-103549,2025-08-06,18:00,Wednesday,AutoHub Northgate,Islamabad,Oil & Filter Change,Maintenance,Mehwish Khan,Sara Riaz,Suzuki,Cultus,2017,Mobile Wallet,Completed,3880.0,46,3,3.5,3880.0
JOB-102333,2025-08-06,16:00,Wednesday,AutoHub Northgate,Islamabad,Oil & Filter Change,Maintenance,Rabia Yousaf,Amina Rafiq,Suzuki,Alto,2021,Mobile Wallet,Completed,4510.0,46,9,3.5,4510.0
JOB-101280,2025-08-06,07:45,Wednesday,AutoHub Industrial,Faisalabad,Oil & Filter Change,Maintenance,Danish Iqbal,Shahid Iqbal,Suzuki,WagonR,2014,Cash,Completed,4170.0,41,19,4.5,4170.0
JOB-103908,2025-08-06,13:30,Wednesday,AutoHub Downtown,Rawalpindi,Diagnostic Scan,Diagnostics,Mehwish Khan,Sara Baig,Honda,City,2019,Cash,No-show,1440.0,35,18,,0.0
JOB-101332,2025-08-06,12:00,Wednesday,AutoHub Northgate,Islamabad,Oil & Filter Change,Maintenance,Kamran Yousuf,Mahnoor Khalid,Kia,Sportage,2023,Cash,Completed,4110.0,51,13,4.0,4110.0
JOB-105271,2025-08-06,07:15,Wednesday,AutoHub Industrial,Faisalabad,Brake Service,Safety,Danish Iqbal,Junaid Baig,Suzuki,WagonR,2023,Cash,Completed,8900.0,91,10,5.0,8900.0
JOB-102873,2025-08-06,11:00,Wednesday,AutoHub Downtown,Rawalpindi,AC Performance Check,Comfort,Sana Rafiq,Umar Noor,Toyota,Fortuner,2016,Card,Completed,2920.0,66,10,5.0,2920.0
JOB-104211,2025-08-06,16:45,Wednesday,AutoHub Industrial,Faisalabad,Battery & Charging Test,Electrical,Faisal Mehmood,Fatima Khalid,Toyota,Yaris,2024,Card,Completed,850.0,19,12,5.0,850.0
JOB-102442,2025-08-06,07:45,Wednesday,AutoHub Riverside,Lahore,Brake Service,Safety,Aliya Baig,Komal Yousaf,Toyota,Corolla,2019,Cash,Completed,8380.0,92,18,3.5,8380.0
JOB-106360,2025-08-06,13:30,Wednesday,AutoHub Downtown,Rawalpindi,Diagnostic Scan,Diagnostics,Kamran Yousuf,Rimsha Khalid,Toyota,Yaris,2021,Card,No-show,1430.0,35,6,,0.0
JOB-101537,2025-08-06,07:15,Wednesday,AutoHub Northgate,Islamabad,Oil & Filter Change,Maintenance,Faisal Mehmood,Hamza Riaz,MG,HS,2024,Bank Transfer,Completed,4020.0,50,2,4.5,4020.0
JOB-100373,2025-08-06,15:15,Wednesday,AutoHub Downtown,Rawalpindi,Detailing & Paint Protection,Comfort,Rabia Yousaf,Bilal Rafiq,Toyota,Fortuner,2014,Mobile Wallet,Completed,12160.0,173,6,4.0,12160.0
JOB-106441,2025-08-06,14:45,Wednesday,AutoHub Downtown,Rawalpindi,Brake Service,Safety,Nadeem Shah,Kashif Raza,Hyundai,Elantra,2015,Card,Completed,8310.0,79,6,3.5,8310.0
JOB-100804,2025-08-06,10:15,Wednesday,AutoHub Riverside,Lahore,Oil & Filter Change,Maintenance,Faisal Mehmood,Farhan Riaz,Toyota,Yaris,2018,Card,Completed,4500.0,49,19,4.0,4500.0
JOB-102321,2025-08-07,14:00,Thursday,AutoHub Riverside,Lahore,Wheel Alignment & Balancing,Maintenance,Kamran Yousuf,Rimsha Malik,MG,HS,2017,Mobile Wallet,Completed,3310.0,71,13,4.0,3310.0
JOB-106481,2025-08-07,11:30,Thursday,AutoHub Northgate,Islamabad,Diagnostic Scan,Diagnostics,Sana Rafiq,Hamza Malik,Toyota,Corolla,2014,Card,Completed,1590.0,27,10,4.5,1590.0
JOB-101004,2025-08-07,14:45,Thursday,AutoHub Riverside,Lahore,Brake Service,Safety,Imran Qureshi,Kashif Qureshi,MG,HS,2024,Card,Completed,8700.0,84,9,4.5,8700.0
JOB-101101,2025-08-07,14:00,Thursday,AutoHub Riverside,Lahore,Wheel Alignment & Balancing,Maintenance,Hina Sultana,Ahmed Rafiq,Honda,City,2024,Card,Completed,3550.0,71,14,4.5,3550.0
JOB-103222,2025-08-07,10:15,Thursday,AutoHub Downtown,Rawalpindi,Oil & Filter Change,Maintenance,Tariq Jameel,Kashif Malik,Honda,City,2020,Card,Cancelled,4140.0,49,10,,0.0
JOB-104076,2025-08-07,09:30,Thursday,AutoHub Industrial,Faisalabad,Detailing & Paint Protection,Comfort,Kamran Yousuf,Zainab Qureshi,Honda,Civic,2020,Cash,Completed,12800.0,172,8,4.0,12800.0
JOB-102207,2025-08-07,10:15,Thursday,AutoHub Industrial,Faisalabad,Diagnostic Scan,Diagnostics,Aliya Baig,Fatima Riaz,Toyota,Corolla,2018,Bank Transfer,Completed,1550.0,32,0,4.0,1550.0
JOB-100135,2025-08-07,14:00,Thursday,AutoHub Downtown,Rawalpindi,Brake Service,Safety,Hina Sultana,Komal Riaz,Suzuki,Alto,2016,Mobile Wallet,Completed,8250.0,85,7,4.0,8250.0
JOB-103819,2025-08-07,13:00,Thursday,AutoHub Northgate,Islamabad,Brake Service,Safety,Tariq Jameel,Kashif Riaz,Toyota,Corolla,2018,Cash,Completed,9580.0,88,23,3.5,9580.0
JOB-105566,2025-08-07,14:15,Thursday,AutoHub Riverside,Lahore,Oil & Filter Change,Maintenance,Faisal Mehmood,Farhan Sheikh,Kia,Sportage,2020,Cash,Completed,4110.0,40,15,4.0,4110.0
JOB-104245,2025-08-07,12:00,Thursday,AutoHub Northgate,Islamabad,Diagnostic Scan,Diagnostics,Rabia Yousaf,Ahmed Shah,Suzuki,WagonR,2023,Cash,Completed,1580.0,26,21,4.0,1580.0
JOB-105551,2025-08-07,09:45,Thursday,AutoHub Downtown,Rawalpindi,Oil & Filter Change,Maintenance,Kamran Yousuf,Zainab Raza,Toyota,Yaris,2024,Card,Completed,4070.0,50,10,4.5,4070.0
JOB-101171,2025-08-07,16:45,Thursday,AutoHub Industrial,Faisalabad,Transmission Fluid Service,Maintenance,Mehwish Khan,Bilal Yousaf,Suzuki,WagonR,2019,Mobile Wallet,Completed,7330.0,90,10,4.5,7330.0
JOB-101628,2025-08-07,15:15,Thursday,AutoHub Riverside,Lahore,Brake Service,Safety,Faisal Mehmood,Hassan Farooq,Hyundai,Elantra,2017,Card,Completed,8270.0,79,9,4.5,8270.0
JOB-105373,2025-08-08,08:15,Friday,AutoHub Riverside,Lahore,Transmission Fluid Service,Maintenance,Kamran Yousuf,Sara Shah,Hyundai,Elantra,2017,Cash,Completed,7040.0,90,20,4.0,7040.0
JOB-102966,2025-08-08,15:15,Friday,AutoHub Industrial,Faisalabad,Brake Service,Safety,Faisal Mehmood,Adeel Baig,Honda,City,2019,Cash,Completed,8810.0,97,6,3.5,8810.0
JOB-103420,2025-08-08,11:00,Friday,AutoHub Industrial,Faisalabad,Full Inspection (Pre-Purchase),Diagnostics,Waqas Ali,Hassan Malik,Honda,City,2024,Mobile Wallet,Completed,5680.0,104,5,4.5,5680.0
JOB-102710,2025-08-08,10:15,Friday,AutoHub Riverside,Lahore,Brake Service,Safety,Aliya Baig,Umar Shah,Toyota,Yaris,2014,Cash,Completed,8370.0,89,8,5.0,8370.0
